Obesity,,,,ab_c
LysoPC(18:1(11Z)/0:0),HMDB0010385,[H][C@@](O)(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.5 +/- 5.2uM,12.7
LysoPC(18:1(11Z)/0:0),HMDB0010385,[H][C@@](O)(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,12.7 +/- 5.8uM,13.5
LysoPC(18:1(11Z)/0:0),HMDB0010385,[H][C@@](O)(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,12.3 +/- 5.2uM,12.7
LysoPC(18:1(11Z)/0:0),HMDB0010385,[H][C@@](O)(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,12.7 +/- -5.5uM,12.3
"LysoPC(18:2(9Z,12Z)/0:0)",HMDB0010386,[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,21.7 +/- 7.7uM,12.7
"LysoPC(18:2(9Z,12Z)/0:0)",HMDB0010386,[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,20.0 +/- 9.5uM,21.7
"LysoPC(18:2(9Z,12Z)/0:0)",HMDB0010386,[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.6 +/- 8.2uM,20
"LysoPC(18:2(9Z,12Z)/0:0)",HMDB0010386,[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,20.6 +/- 7.5uM,19.6
"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0010395,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,4.8 +/- 1.4uM,20.6
"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0010395,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,4.5 +/- 1.9uM,4.8
"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0010395,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,4.5 +/- 1.7uM,4.5
"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0010395,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C,4.7 +/- 2.0uM,4.5
"LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",HMDB0010396,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C,4.8 +/- 1.4uM,4.7
