Obesity,,,,ab_c
PC(18:0/18:1(9Z)),HMDB0008038,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,38.8 +/- 13.3uM,47.7
PC(18:0/18:1(9Z)),HMDB0008038,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,47.7 +/- 15.4uM,38.8
"PC(18:0/18:2(9Z,12Z))",HMDB0008039,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,192.7 +/- 50.0uM,47.7
"PC(18:0/18:2(9Z,12Z))",HMDB0008039,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,233.6 +/- 68.4uM,192.7
"PC(18:0/18:3(6Z,9Z,12Z))",HMDB0008040,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,108.5 +/- 32.8uM,233.6
"PC(18:0/18:3(6Z,9Z,12Z))",HMDB0008040,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,132.1 +/- 39.6uM,108.5
"PC(18:0/18:3(9Z,12Z,15Z))",HMDB0008041,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,108.5 +/- 32.8uM,132.1
"PC(18:0/18:3(9Z,12Z,15Z))",HMDB0008041,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,132.1 +/- 39.6uM,108.5
"PC(18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008042,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,138.6 +/- 39.6uM,132.1
"PC(18:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008042,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,159.1 +/- 43.5uM,138.6
PC(18:0/20:0),HMDB0008043,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,2.39 +/- 0.94uM,159.1
PC(18:0/20:0),HMDB0008043,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,2.48 +/- 0.81uM,2.39
"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,43.5 +/- 14.2uM,2.48
"PC(18:0/20:3(5Z,8Z,11Z))",HMDB0008046,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,56.1 +/- 19.7uM,43.5
"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,43.5 +/- 14.2uM,56.1
"PC(18:0/20:3(8Z,11Z,14Z))",HMDB0008047,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,56.1 +/- 19.7uM,43.5
"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,88.0 +/- 28.5uM,56.1
"PC(18:0/20:4(5Z,8Z,11Z,14Z))",HMDB0008048,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,103.8 +/- 31.3uM,88
"PC(18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008049,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,88.0 +/- 28.5uM,103.8
"PC(18:0/20:4(8Z,11Z,14Z,17Z))",HMDB0008049,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,103.8 +/- 31.3uM,88
"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008050,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,39.8 +/- 13.1uM,103.8
"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008050,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,48.5 +/- 15.2uM,39.8
"PC(18:0/22:2(13Z,16Z))",HMDB0008053,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.296 +/- 0.142uM,48.5
"PC(18:0/22:2(13Z,16Z))",HMDB0008053,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.297 +/- 0.119uM,0.296
"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,3.62 +/- 1.28uM,0.297
"PC(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008054,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,4.50 +/- 1.51uM,3.62
"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,8.83 +/- 3.47uM,4.5
"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008055,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,11.27 +/- 4.24uM,8.83
"PC(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008056,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,8.83 +/- 3.47uM,11.27
"PC(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008056,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,11.27 +/- 4.24uM,8.83
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,19.0 +/- 7.8uM,11.27
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,24.5 +/- 10.0uM,19
PC(18:0/24:0),HMDB0008058,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,0.470 +/- 0.173uM,24.5
PC(18:0/24:0),HMDB0008058,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,0.488 +/- 0.158uM,0.47
PC(18:0/24:1(15Z)),HMDB0008059,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,0.242 +/- 0.097uM,0.488
PC(18:0/24:1(15Z)),HMDB0008059,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC,0.250 +/- 0.084uM,0.242
PC(18:0/P-18:0),HMDB0008061,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCCCCCCCCCC,2.16 +/- 0.80uM,0.25
PC(18:0/P-18:0),HMDB0008061,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCCCCCCCCCC,2.35 +/- 0.77uM,2.16
PC(18:0/P-18:1(11Z)),HMDB0008062,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,38.8 +/- 13.3uM,2.35
PC(18:0/P-18:1(11Z)),HMDB0008062,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,47.7 +/- 15.4uM,38.8
PC(18:0/P-18:1(9Z)),HMDB0008063,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,38.8 +/- 13.3uM,47.7
PC(18:0/P-18:1(9Z)),HMDB0008063,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,47.7 +/- 15.4uM,38.8
PC(18:1(11Z)/14:0),HMDB0008064,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.8 +/- 6.4uM,47.7
PC(18:1(11Z)/14:0),HMDB0008064,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,18.3 +/- 7.6uM,13.8
PC(18:1(11Z)/14:1(9Z)),HMDB0008065,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,3.02 +/- 1.66uM,18.3
PC(18:1(11Z)/14:1(9Z)),HMDB0008065,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,3.99 +/- 1.62uM,3.02
PC(18:1(11Z)/16:0),HMDB0008067,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,170.6 +/- 49.9uM,3.99
PC(18:1(11Z)/16:0),HMDB0008067,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,208.6 +/- 57.9uM,170.6
PC(18:1(11Z)/16:1(9Z)),HMDB0008068,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,293.9 +/- 67.9uM,208.6
PC(18:1(11Z)/16:1(9Z)),HMDB0008068,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,342.3 +/- 95.3uM,293.9
PC(18:1(11Z)/18:0),HMDB0008069,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,38.8 +/- 13.3uM,342.3
PC(18:1(11Z)/18:0),HMDB0008069,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,47.7 +/- 15.4uM,38.8
PC(18:1(11Z)/18:1(11Z)),HMDB0008070,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,192.7 +/- 50.0uM,47.7
PC(18:1(11Z)/18:1(11Z)),HMDB0008070,[H][C@@](COC(=O)CCCCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,233.6 +/- 68.4uM,192.7
PC(18:1(11Z)/18:1(9Z)),HMDB0008071,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,192.7 +/- 50.0uM,233.6
PC(18:1(11Z)/18:1(9Z)),HMDB0008071,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,233.6 +/- 68.4uM,192.7
"PC(18:1(11Z)/18:2(9Z,12Z))",HMDB0008072,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,108.5 +/- 32.8uM,233.6
"PC(18:1(11Z)/18:2(9Z,12Z))",HMDB0008072,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,132.1 +/- 39.6uM,108.5
"PC(18:1(11Z)/18:3(6Z,9Z,12Z))",HMDB0008073,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,138.6 +/- 39.6uM,132.1
"PC(18:1(11Z)/18:3(6Z,9Z,12Z))",HMDB0008073,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,159.1 +/- 43.5uM,138.6
"PC(18:1(11Z)/18:3(9Z,12Z,15Z))",HMDB0008074,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,138.6 +/- 39.6uM,159.1
"PC(18:1(11Z)/18:3(9Z,12Z,15Z))",HMDB0008074,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,159.1 +/- 43.5uM,138.6
"PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008075,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,13.5 +/- 6.1uM,159.1
"PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008075,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,17.9 +/- 7.9uM,13.5
"PC(18:1(11Z)/20:2(11Z,14Z))",HMDB0008078,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,43.5 +/- 14.2uM,17.9
"PC(18:1(11Z)/20:2(11Z,14Z))",HMDB0008078,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,56.1 +/- 19.7uM,43.5
"PC(18:1(11Z)/20:3(5Z,8Z,11Z))",HMDB0008079,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,56.1
"PC(18:1(11Z)/20:3(5Z,8Z,11Z))",HMDB0008079,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(18:1(11Z)/20:3(8Z,11Z,14Z))",HMDB0008080,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,88.0 +/- 28.5uM,103.8
"PC(18:1(11Z)/20:3(8Z,11Z,14Z))",HMDB0008080,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,103.8 +/- 31.3uM,88
"PC(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008081,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,39.8 +/- 13.1uM,103.8
"PC(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008081,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,48.5 +/- 15.2uM,39.8
"PC(18:1(11Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008082,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,39.8 +/- 13.1uM,48.5
"PC(18:1(11Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008082,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,48.5 +/- 15.2uM,39.8
"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008083,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,51.9 +/- 20.0uM,48.5
"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008083,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,60.5 +/- 21.7uM,51.9
PC(18:1(11Z)/22:1(13Z)),HMDB0008085,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.296 +/- 0.142uM,60.5
PC(18:1(11Z)/22:1(13Z)),HMDB0008085,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.297 +/- 0.119uM,0.296
"PC(18:1(11Z)/22:2(13Z,16Z))",HMDB0008086,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.504 +/- 0.170uM,0.297
"PC(18:1(11Z)/22:2(13Z,16Z))",HMDB0008086,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC,0.545 +/- 0.161uM,0.504
"PC(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008087,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,8.83 +/- 3.47uM,0.545
"PC(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008087,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,11.27 +/- 4.24uM,8.83
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008088,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,19.0 +/- 7.8uM,11.27
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008088,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,24.5 +/- 10.0uM,19
"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008089,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,19.0 +/- 7.8uM,24.5
"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008089,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,24.5 +/- 10.0uM,19
PC(18:1(11Z)/24:0),HMDB0008091,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.242 +/- 0.097uM,24.5
PC(18:1(11Z)/24:0),HMDB0008091,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.250 +/- 0.084uM,0.242
PC(18:1(11Z)/24:1(15Z)),HMDB0008092,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.165 +/- 0.066uM,0.25
PC(18:1(11Z)/24:1(15Z)),HMDB0008092,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.170 +/- 0.066uM,0.165
PC(18:1(11Z)/P-16:0),HMDB0008093,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,170.6 +/- 49.9uM,0.17
PC(18:1(11Z)/P-16:0),HMDB0008093,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,208.6 +/- 57.9uM,170.6
PC(18:1(11Z)/P-18:0),HMDB0008094,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,38.8 +/- 13.3uM,208.6
PC(18:1(11Z)/P-18:0),HMDB0008094,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,47.7 +/- 15.4uM,38.8
PC(18:1(11Z)/P-18:1(11Z)),HMDB0008095,CCCCCC\C=C/CCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,192.7 +/- 50.0uM,47.7
PC(18:1(11Z)/P-18:1(11Z)),HMDB0008095,CCCCCC\C=C/CCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,233.6 +/- 68.4uM,192.7
PC(18:1(11Z)/P-18:1(9Z)),HMDB0008096,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,192.7 +/- 50.0uM,233.6
PC(18:1(11Z)/P-18:1(9Z)),HMDB0008096,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,233.6 +/- 68.4uM,192.7
PC(18:1(9Z)/14:0),HMDB0008097,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.8 +/- 6.4uM,233.6
PC(18:1(9Z)/14:0),HMDB0008097,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,18.3 +/- 7.6uM,13.8
