mid,nc.unadj,nc
HMDB0000215,204.3278984,204.32790 
HMDB0000216,0.0070 (0.0034-0.011),0.00700 
HMDB0000217,19.6 (18.3 - 20.8),19.60000 
HMDB0000220,122 +/- 48,122.00000 
HMDB0000221,51.0 (34.0-81.0),51.00000 
HMDB0000222,0.153 (0.073-0.227),0.15300 
HMDB0000223,61,61.00000 
HMDB0000224,19 +/- 9.9,19.00000 
HMDB0000226,0.27 +/- 0.25,0.27000 
HMDB0000227,0.028 +/- 0.006,0.02800 
HMDB0000228,6.38 +/- 2.13,6.38000 
HMDB0000229,66.67 - 133.33,66.67000 
HMDB0000230,2.0 (1.0-3.0),2.00000 
HMDB0000232,0.599 +/- 0.299,0.59900 
HMDB0000234,0.00260-0.0139,0.01390 
HMDB0000235,0.34 (0.14-0.79),0.34000 
HMDB0000237,1.6 +/- 1.2,1.60000 
HMDB0000238,0.0005 (0.0-0.001),0.00050 
HMDB0000239,0.025 (0.007-0.060),0.02500 
HMDB0000240,1.23 +/- 0.48,1.23000 
HMDB0000241,0.66 +/- 0.18,0.66000 
HMDB0000243,34.5 +/- 25.2,34.50000 
HMDB0000244,0.845 (0.361-1.77),0.84500 
HMDB0000245,0.06 (0.00-0.12),0.06000 
HMDB0000247,1.09 +/- 0.37,1.09000 
HMDB0000248,0.000009 - 0.000023,0.00001 
HMDB0000250,1.8 (0.64-2.96),1.80000 
HMDB0000251,>10,10.00000 
HMDB0000252,0.050 +/- 0.0013,0.05000 
HMDB0000253,0.00474-0.0632,0.06320 
HMDB0000254,16.0 (0.00-32.0),16.00000 
HMDB0000256,2.22 +/- 0.063,2.22000 
HMDB0000257,1215 +/- 261,1215.00000 
HMDB0000258,1.8 +/- 1.2,1.80000 
HMDB0000259,0.85 +/- 0.077,0.85000 
HMDB0000262,<5.0,5.00000 
HMDB0000263,7.6 +/- 2.9,7.60000 
HMDB0000265,0.0029 +/- 0.00019,0.00290 
HMDB0000267,19.5 +/- 3.7,19.50000 
HMDB0000268,0.0190-0.0571,0.05710 
HMDB0000269,0.011 +/- 0.00033,0.01100 
HMDB0000271,0,0.00000 
HMDB0000272,17.0 +/- 3.0,17.00000 
HMDB0000273,1.52 +/- 1.21,1.52000 
HMDB0000277,0.308 +/- 0.010,0.30800 
HMDB0000280,5.72 +/- 0.86,5.72000 
HMDB0000283,2.3 (0.0-5.0),2.30000 
HMDB0000285,1.02 +/- 0.67,1.02000 
HMDB0000286,155.0 +/- 113.0,155.00000 
HMDB0000288,184.0 +/- 127.0,184.00000 
HMDB0000289,384.18 +/- 203.31,384.18000 
HMDB0000290,0.110 +/- 0.199,0.11000 
HMDB0000291,0.035 +/- 0.008,0.03500 
HMDB0000292,<1.00,1.00000 
HMDB0000294,6074.6 +/- 2154.2,6074.60000 
HMDB0000295,41.0 +/- 12.0,41.00000 
HMDB0000296,3.10 (2.90-3.30),3.10000 
HMDB0000299,5.08 +/- 0.30,5.08000 
HMDB0000300,0.87 +/- 0.69,0.87000 
HMDB0000301,0.43 +/- 0.33,0.43000 
HMDB0000302,2.008,2.00800 
HMDB0000305,0.78 +/- 0.33,0.78000 
HMDB0000306,0.0095 +/- 0.0021,0.00950 
HMDB0000315,16.1 +/- 2.3,16.10000 
HMDB0000317,<0.7,0.70000 
HMDB0000318,0.008 +/- 0.005,0.00800 
HMDB0000319,0.000550-0.00138,0.00138 
HMDB0000325,0.1,0.10000 
HMDB0000332,0.000827 +/- 0.00004,0.00083 
HMDB0000335,0.00078 (0.00076-0.00081),0.00078 
HMDB0000336,21.0 +/- 2.0,21.00000 
HMDB0000337,18.0 (0.0-54.0),18.00000 
HMDB0000338,0.0016 +/- 0.0014,0.00160 
HMDB0000339,0.0348–0.3643,0.36430 
HMDB0000343,0.00024 (0.00017-0.00033),0.00024 
HMDB0000345,3.1-6.0 ,6.00000 
HMDB0000350,0.65(0.32-1.2),0.65000 
HMDB0000352,0.35 +/- 0.24,0.35000 
HMDB0000354,<10,10.00000 
HMDB0000360,2.0 (0.0-7.0),2.00000 
HMDB0000362,1.6 +/- 2.5,1.60000 
HMDB0000363,0.00180-0.00451,0.00451 
HMDB0000365,2.9 (2.65-4.19),2.90000 
HMDB0000369,0.12 (0.078-0.34),0.12000 
HMDB0000374,0.000212-0.00233,0.00233 
HMDB0000375,0.056 +/- 0.015,0.05600 
HMDB0000379,0.1 (0.08-0.26),0.10000 
HMDB0000380,0.002348+/-0.0008755,0.00235 
HMDB0000387,0.3 (0.2-0.6),0.30000 
HMDB0000394,0.21(0.068-0.54),0.21000 
HMDB0000396,3.9 (0.1-14.5),3.90000 
HMDB0000397,0.129 +/- 0.034,0.12900 
HMDB0000403,<1,1.00000 
HMDB0000405,0.01000 +/- 0.00066,0.01000 
HMDB0000407,13.7 +/- 6.3,13.70000 
HMDB0000408,<2,2.00000 
HMDB0000413,0.61(0.39-1.1),0.61000 
HMDB0000416,2.0 (1.56-5.03),2.00000 
HMDB0000418,0.003290 +/- 0.000175,0.00329 
HMDB0000423,0.029 +/- 0.01,0.02900 
HMDB0000424,0.39-0.67 ,0.67000 
HMDB0000428,0.15 +/- 0.08,0.15000 
HMDB0000429,0.3200 +/- 0.0001,0.32000 
HMDB0000430,0.0043 +/- 0.0014,0.00430 
HMDB0000434,0.687 +/- 0.175,0.68700 
HMDB0000440,0.012 +/- 0.01,0.01200 
HMDB0000442,20.0 (19.0 - 23.0),20.00000 
HMDB0000448,0.09 +/- 0.010,0.09000 
HMDB0000449,0.19 +/- 0.13,0.19000 
HMDB0000450,0-2.5,2.50000 
HMDB0000452,23.0 (15.0-31.0),23.00000 
HMDB0000459,0.0559–0.6455,0.64550 
HMDB0000462,2.1 +/- 1.1,2.10000 
HMDB0000464,1536 +/- 141,1536.00000 
HMDB0000466,12189.869,12189.86900 
HMDB0000468,0.017 +/- 0.0025,0.01700 
HMDB0000469,0.12,0.12000 
HMDB0000472,0.018 +/- 0.0027,0.01800 
HMDB0000479,2.7 (0.0-5.9),2.70000 
HMDB0000481,5.0 (0.05-10.0) ,5.00000 
HMDB0000482,2.5 (0.0-5.0),2.50000 
HMDB0000484,4.8 (2.0-8.1),4.80000 
HMDB0000489,0,0.00000 
HMDB0000490,0.0012 +/- 0.00013,0.00120 
HMDB0000491,18.0 (8.0-31.0),18.00000 
HMDB0000492,94000-104000,104000.00000 
HMDB0000493,0.000149 (0.000057-0.00025),0.00015 
HMDB0000494,2.8 +/- 8.8,2.80000 
HMDB0000495,0.022 +/- 0.0043,0.02200 
HMDB0000496,0.18 +/- 0.022,0.18000 
HMDB0000497,6.37 +/- 1.38,6.37000 
