mid,nc.unadj,nc
HMDB0001358,0.155 +/- 0.232,0.15500 
HMDB0001361,72.0 +/- 25.0,72.00000 
HMDB0001367,0.135 +/- 0.363,0.13500 
HMDB0001368,0.0400-0.310,0.31000 
HMDB0001371,161827.316 +/- 35697.202,161827.31600 
HMDB0001372,0.0032 +/- 0.0022,0.00320 
HMDB0001377,6960.0 +/- 410.0,6960.00000 
HMDB0001383,0.097 +/- 0.015,0.09700 
HMDB0001388,7.183 +/- 3.592,7.18300 
HMDB0001389,0.00019 +/- 0.00015,0.00019 
HMDB0001390,0.25 +/- 0.045,0.25000 
HMDB0001392,15.0 (5.01-32.0),15.00000 
HMDB0001394,5.193 +/- 1.635,5.19300 
HMDB0001396,0.3 (0.094-0.7),0.30000 
HMDB0001397,0.0099 +/- 0.0024,0.00990 
HMDB0001398,8.5 +/- 1.0,8.50000 
HMDB0001401,4.52 +/- 8.7,4.52000 
HMDB0001403,0.0002 +/- 0.000065,0.00020 
HMDB0001406,0.03 +/- 0.01,0.03000 
HMDB0001411,0.000017 +/- 0.000006,0.00002 
HMDB0001414,0.060-0.420,0.42000 
HMDB0001419,0.049 +/- 0.002,0.04900 
HMDB0001420,0.00168 (0.000480-0.00288),0.00168 
HMDB0001425,0.0051 +/- 0.00045,0.00510 
HMDB0001426,13.3-19.3,19.30000 
HMDB0001429,379.1 +/- 31.6,379.10000 
HMDB0001431,0.164 +/- 0.038,0.16400 
HMDB0001432,0.310 +/- 0.0699,0.31000 
HMDB0001434,0.089 +/- 0.032,0.08900 
HMDB0001438,0.0023 +/- 0.00033,0.00230 
HMDB0001442,<0.0001,0.00010 
HMDB0001448,215.5 +/- 3.3,215.50000 
HMDB0001449,0.01 +/- 0.003,0.01000 
HMDB0001451,0.077 +/- 0.017,0.07700 
HMDB0001452,0.00024 +/- 0.000036,0.00024 
HMDB0001453,30.7 +/- 28.8,30.70000 
HMDB0001455,0.0015 +/- 0.00062,0.00150 
HMDB0001460,0.000297 (0.000223-0.000397),0.00030 
HMDB0001471,0.003 +/- 0.0018,0.00300 
HMDB0001473,12.1 +/- 5.1,12.10000 
HMDB0001475,0.00077-0.0050,0.00500 
HMDB0001476,0.079 (0.015-0.209),0.07900 
HMDB0001478,<0.0005,0.00050 
HMDB0001487,22.0 (14.0-40.0),22.00000 
HMDB0001488,49.1 +/- 5.93,49.10000 
HMDB0001489,60,60.00000 
HMDB0001490,0.017 +/- 0.004,0.01700 
HMDB0001491,0.0146-0.0728,0.07280 
HMDB0001492,2.41 (2.3-2.5),2.41000 
HMDB0001495,0.105,0.10500 
HMDB0001496,0.18 +/- 0.047,0.18000 
HMDB0001505,0.000384 (0.000320-0.000448),0.00038 
HMDB0001509,<0.0001,0.00010 
HMDB0001511,22.9 +/- 17.1,22.90000 
HMDB0001514,0.29 (0.0-0.6),0.29000 
HMDB0001517,0.441 +/- 0.133,0.44100 
HMDB0001518,0.013 (0.0051-0.020),0.01300 
HMDB0001520,0.0084 (0.0035-0.013),0.00840 
HMDB0001522,<0.10,0.10000 
HMDB0001525,9.42,9.42000 
HMDB0001527,0.036 +/- 0.009,0.03600 
HMDB0001532,0,0.00000 
HMDB0001533,0.01 (0.0-0.21),0.01000 
HMDB0001537,0.14 (0.06-0.2),0.14000 
HMDB0001538,2.47 +/- 1.55,2.47000 
HMDB0001539,0.30-1.00,1.00000 
HMDB0001544,0.68,0.68000 
HMDB0001545,0.251 +/- 0.051,0.25100 
HMDB0001546,36.0 +/- 12.0,36.00000 
HMDB0001547,0.027 +/- 0.005,0.02700 
HMDB0001548,13.2 +/- 4.8,13.20000 
HMDB0001553,0.02,0.02000 
HMDB0001555,0.015 +/- 0.005,0.01500 
HMDB0001562,0.0025 +/- 0.0036,0.00250 
HMDB0001563,0.0461 +/- 0.0569,0.04610 
HMDB0001565,2.2 +/- 1.0,2.20000 
HMDB0001586,1.32 +/- 0.69,1.32000 
HMDB0001587,36.6 +/- 0.48,36.60000 
HMDB0001624,0,0.00000 
HMDB0001644,2.5 (0.0-5.0),2.50000 
HMDB0001645,0.0065,0.00650 
HMDB0001659,35.00-170.0,170.00000 
HMDB0001713,0.022 +/- 0.009,0.02200 
HMDB0001721,1.05,1.05000 
HMDB0001830,0.000320 - 0.0795,0.00032 
HMDB0001842,0.13 (0.06-0.2),0.13000 
HMDB0001846,0.0025 +/- 0.0044,0.00250 
HMDB0001847,78.0 (26.0-129.0),78.00000 
HMDB0001849,0.0026,0.00260 
HMDB0001851,<3.947,3.94700 
HMDB0001852,0.20 +/- 0.18,0.20000 
HMDB0001854,0.021 +/- 0.02,0.02100 
HMDB0001855,0.0009 +/- 0.0003,0.00090 
HMDB0001856,0.49 +/- 0.062,0.49000 
HMDB0001858,5.556 +/- 9.259,5.55600 
HMDB0001859,11 +/- 6,11.00000 
HMDB0001861,0.011 +/- 0.03,0.01100 
HMDB0001863,0-4,2.00000 
HMDB0001865,12.9 +/- 2.0,12.90000 
HMDB0001866,0.011 +/- 0.004,0.01100 
HMDB0001867,18.0 (5.0-283.0),18.00000 
HMDB0001868,0.14,0.14000 
HMDB0001870,14.327 +/- 2.066,14.32700 
HMDB0001871,0.625 +/- 0.198,0.62500 
HMDB0001873,2.3 (0.7-4.4),2.30000 
HMDB0001875,61.1-93.7,93.70000 
HMDB0001876,0.0057 +/- 0.003,0.00570 
HMDB0001877,208.0 (3.5-416.0),208.00000 
HMDB0001878,3.264 +/- 1.01,3.26400 
HMDB0001879,26.5 +/- 1.9,26.50000 
HMDB0001881,22.3 +/- 3.3,22.30000 
HMDB0001882,6.807,6.80700 
HMDB0001885,6.96 +/- 3.578,6.96000 
HMDB0001888,0.17 (0.06-0.77),0.17000 
HMDB0001890,4.0 (4.29-5.0),4.00000 
HMDB0001891,0.07,0.07000 
HMDB0001892,0.00108 (0.0003-0.025),0.00108 
HMDB0001893,21.3 (12.0 - 80.8),21.30000 
HMDB0001895,0.020-0.200,0.20000 
HMDB0001896,0.00009 +/- 0.000016,0.00009 
HMDB0001897,0.0000036 +/- 0.0000018,0.00000 
HMDB0001901,2.0 (0.76-3.05),2.00000 
HMDB0001903,0.000086 (0.000029-0.00016),0.00009 
HMDB0001904,0.0-0.30,0.30000 
HMDB0001906,1.03 +/- 0.34,1.03000 
HMDB0001913,0.34 (0.014-7.24),0.34000 
HMDB0001917,0.0007 +/- 0.00007,0.00070 
HMDB0001919,4.0 (0.30-9.0),4.00000 
HMDB0001921,6.0 (0.0060-12.07),6.00000 
HMDB0001923,302.0 +/- 53.0,302.00000 
HMDB0001924,3.75 (0.037-7.5),3.75000 
HMDB0001925,242.0 (2.42-485.0),242.00000 
HMDB0001926,0.00016 (0.000084-0.00027),0.00016 
HMDB0001928,0.3 (0.00167-0.67),0.30000 
HMDB0001929,0.135 +/- 0.015,0.13500 
HMDB0001930,7.3 (0.63-16.0),7.30000 
HMDB0001931,0.16 (0.11-0.2),0.16000 
HMDB0001932,0.071 +/- 0.0076,0.07100 
HMDB0001934,1.35 +/- 0.3,1.35000 
HMDB0001941,0.024 +/- 0.0021,0.02400 
HMDB0001942,2.0 (0.005-5.0),2.00000 
HMDB0001943,3.02 (0.012-6.05),3.02000 
HMDB0001954,20,20.00000 
HMDB0001959,0.32 (0.1-1.1),0.32000 
HMDB0001960,0.0024-0.0212,0.02120 
HMDB0001964,2.12 +/- 1.547,2.12000 
HMDB0001966,0-0.021,0.02100 
HMDB0001967,25600.0 +/- 1430.0,25600.00000 
HMDB0001972,0.032,0.03200 
HMDB0001976,10.0 +/- 4.1,10.00000 
HMDB0001980,0.0000053 (0.0000046-0.0000062),0.00001 
HMDB0001983,0.078 (0.054-0.102),0.07800 
HMDB0001986,0.11,0.11000 
HMDB0001987,2.8 +/- 1.5,2.80000 
HMDB0001989,0.00016 +/- 0.00011,0.00016 
HMDB0001993,109.8 +/- 16.44,109.80000 
HMDB0001999,0.435 +/- 0.010,0.43500 
HMDB0002000,2.016 +/- 0.733,2.01600 
HMDB0002003,0.262 +/- 0.014,0.26200 
HMDB0002004,0.21 +/- 0.03,0.21000 
HMDB0002005,0.30-1.40,1.40000 
HMDB0002006,<1,1.00000 
HMDB0002012,0.00312 +/- 0.00032,0.00312 
HMDB0002013,0.26 +/- 0.16,0.26000 
HMDB0002014,0.06 +/- 0.03,0.06000 
HMDB0002015,0.33,0.33000 
HMDB0002017,0.014 +/- 0.0065,0.01400 
HMDB0002024,0.10 +/- 0.005,0.10000 
HMDB0002027,0.65 (0.0-1.3),0.65000 
HMDB0002030,1980 +/- 320,1980.00000 
HMDB0002031,0.01 +/- 0.05,0.01000 
HMDB0002032,0.0001 +/- 0.00015,0.00010 
HMDB0002035,0.116 +/- 0.045,0.11600 
HMDB0002038,7.0 +/- 6.0,7.00000 
HMDB0002039,0.0975 +/- 0.0300,0.09750 
HMDB0002040,0.693 +/- 0.228,0.69300 
HMDB0002044,0.00142 +/- 0.00059,0.00142 
HMDB0002053,0.000022 (0.000011-0.000033),0.00002 
HMDB0002056,0.0022 (0.0-0.0044),0.00220 
HMDB0002061,0.053 +/- 0.015,0.05300 
HMDB0002062,0.007 +/- 0.001,0.00700 
HMDB0002068,1.264 +/- 1.590,1.26400 
HMDB0002072,0.123 +/- 0.032,0.12300 
HMDB0002078,0.045 +/- 0.021,0.04500 
HMDB0002080,2010 +/- 530,2010.00000 
HMDB0002084,2.9 (0.0 - 11.7),2.90000 
HMDB0002085,0.0-7.1,7.10000 
HMDB0002088,0.0036 +/- 0.00068,0.00360 
HMDB0002089,0.073 +/- 0.015,0.07300 
HMDB0002094,2100 +/- 1200,2100.00000 
HMDB0002095,0.030-0.090,0.09000 
HMDB0002097,0.974 +/- 0.18,0.97400 
HMDB0002098,2500 +/- 1700,2500.00000 
HMDB0002100,0.013 (0.0094-0.0167),0.01300 
HMDB0002103,0.538 +/- 0.04,0.53800 
HMDB0002107,2.179 (0.211-21.573),2.17900 
HMDB0002108,3.9 +/- 1.9,3.90000 
HMDB0002111,55000000,55000000.00000 
HMDB0002117,2010 +/- 530,2010.00000 
HMDB0002120,0.471,0.47100 
HMDB0002124,0.0106 +/- 0.0123,0.01060 
HMDB0002127,0.910-4.430,4.43000 
HMDB0002130,0.0172,0.01720 
HMDB0002134,60.0 +/- 20.0,60.00000 
HMDB0002151,0 - 1.0,0.00000 
HMDB0002158,0.015 (0.01 - 0.02),0.01500 
HMDB0002163,0,0.00000 
HMDB0002166,1.03 +/- 0.34,1.03000 
HMDB0002169,<10,10.00000 
HMDB0002174,0.000195-0.00119,0.00119 
HMDB0002175,5.98 +/- 2.56,5.98000 
HMDB0002177,0.007 (0 - 0.014),0.00700 
HMDB0002179,0.17 +/- 0.01,0.17000 
HMDB0002181,0.13 +/- 0.08,0.13000 
HMDB0002182,2.3 (0.029-3.0),2.30000 
HMDB0002183,94.2 +/- 31.3,94.20000 
HMDB0002185,0.0375 (0.0297 - 0.0452),0.03750 
HMDB0002186,50.6 +/- 15.8,50.60000 
HMDB0002189,0.05 +/- 0.014,0.05000 
HMDB0002190,0.00700 +/- 0.00982,0.00700 
HMDB0002195,0(0-0),0.00000 
HMDB0002196,0.000096 +/- 0.000048,0.00010 
HMDB0002199,0.664 +/- 0.089,0.66400 
HMDB0002200,0.00002 +/- 0.00001,0.00002 
HMDB0002203,6.00540 +/- 5.405,6.00540 
HMDB0002204,0.092 +/- 0.025,0.09200 
HMDB0002209,0.0006 (0.00057 - 0.00066),0.00060 
HMDB0002212,12.8 +/- 3.2,12.80000 
HMDB0002215,4.18 +/- 0.04,4.18000 
HMDB0002226,8.657 +/- 3.137,8.65700 
HMDB0002231,0.663 +/- 0.59,0.66300 
HMDB0002232,<0.0002,0.00020 
HMDB0002243,0.299 +/- 0.034,0.29900 
HMDB0002250,0.1 +/- 0.03,0.10000 
HMDB0002259,1.89 +/- 0.92,1.89000 
HMDB0002265,0.001449 +/- 0.000071,0.00145 
HMDB0002266,<2,2.00000 
HMDB0002268,0.465 +/- 0.351,0.46500 
HMDB0002269,0.17 +/- 0.013,0.17000 
HMDB0002274,0.000220 +/- 0.00008410,0.00022 
HMDB0002277,0.000038 +/- 0.000008,0.00004 
HMDB0002283,0.000134 +/- 0.000053,0.00013 
HMDB0002285,6.228 +/- 5.119,6.22800 
HMDB0002287,0.00282 +/- 0.00613 ,0.00282 
HMDB0002290,0.000-0.020,0.02000 
HMDB0002299,2.71-57.80,57.80000 
HMDB0002303,0 - 1.0,0.00000 
HMDB0002311,0.00051 +/- 0.000066,0.00051 
HMDB0002314,0.000513 +/- 0.000094,0.00051 
HMDB0002326,0.0123 +/- 0.0123,0.01230 
HMDB0002329,6.43 +/- 1.06,6.43000 
HMDB0002338,0.0088 (0.0027-0.0200),0.00880 
HMDB0002340,2.8(1.0-4.2),2.80000 
HMDB0002343,0.00061 +/- 0.000057,0.00061 
HMDB0002349,0.03 +/- 0.016,0.03000 
HMDB0002356,0.110 +/- 0.006,0.11000 
HMDB0002362,0.1,0.10000 
HMDB0002364,0.026 +/- 0.014,0.02600 
HMDB0002366,0.05 +/- 0.01,0.05000 
HMDB0002368,34.532 +/- 23.730,34.53200 
HMDB0002369,0.0042 +/-0.001,0.00420 
HMDB0002372,6.988 +/- 4.615,6.98800 
HMDB0002374,1.45 +/- 0.48,1.45000 
HMDB0002381,<40,40.00000 
HMDB0002386,2.00-18.0,18.00000 
HMDB0002387,0.0266 +/- 0.0155 ,0.02660 
HMDB0002409,0.75 +/- 1.58,0.75000 
HMDB0002428,5.01 +/- 1.19,5.01000 
HMDB0002434,<1,1.00000 
HMDB0002453,12.3 (4.4-19.8),12.30000 
HMDB0002457,0.64 +/- 0.72,0.64000 
HMDB0002467,0,0.00000 
HMDB0002500,43.3 (33.0-67.2),43.30000 
HMDB0002501,0.006 +/- 0.003,0.00600 
HMDB0002503,0.0012 +/- 0.00059,0.00120 
HMDB0002511,0.046 +/- 0.009,0.04600 
HMDB0002580,0.77 +/- 0.63,0.77000 
HMDB0002586,0.1 (0.0-1.0),0.10000 
HMDB0002601,1.0 (0.0-2.0),1.00000 
HMDB0002639,0.06 +/- 0.01,0.06000 
HMDB0002641,0.904 +/- 0.337,0.90400 
HMDB0002642,0.19 (0.1-0.7),0.19000 
HMDB0002655,0.0388 +/- 0.0454,0.03880 
HMDB0002656,0.000074 +/- 0.000048,0.00007 
HMDB0002659,0.0063 +/- 0.0058,0.00630 
HMDB0002664,<0.0001,0.00010 
HMDB0002666,0.0043 +/- 0.0024,0.00430 
HMDB0002670,0.00815 +/- 0.0154,0.00815 
HMDB0002685,0.000376 +/- 0.0000317,0.00038 
HMDB0002689,0.0000028 (0.0000022-0.0000036),0.00000 
HMDB0002697,0.56 +/- 0.47,0.56000 
HMDB0002704,0.017 - 0.15,0.01700 
HMDB0002708,0.02 (0.03 +/- 0.01),0.02000 
HMDB0002710,0.000027 +/- 0.000003,0.00003 
HMDB0002712,130.0 (95.0 - 178.0),130.00000 
HMDB0002719,1.300 +/- 0.780,1.30000 
HMDB0002720,0.25 (0.011-0.6),0.25000 
HMDB0002721,0.0479 +/- 0.0138,0.04790 
HMDB0002725,0.0145 +/- 0.0094,0.01450 
HMDB0002728,0.000019 +/- 0.0000012,0.00002 
HMDB0002730,283 +/- 4.3,283.00000 
HMDB0002752,0.0000448 +/-  0.000496,0.00004 
HMDB0002755,45.0 (0.62-94.2),45.00000 
HMDB0002759,11.1 (0.80-21.4),11.10000 
HMDB0002776,0.00050 (0.00000 - 0.00870),0.00050 
HMDB0002780,0.650 +/- 0.009,0.65000 
HMDB0002786,32.0 +/- 2.1,32.00000 
HMDB0002789,0.22,0.22000 
HMDB0002802,0.0411 (0.0222 - 0.0750),0.04110 
HMDB0002815,31.5 +/- 10.4,31.50000 
HMDB0002820,0.08457 +/- 0.01364,0.08457 
HMDB0002823,0.004 +/- 0.001,0.00400 
HMDB0002825,1.1 +/- 0.2,1.10000 
HMDB0002829,1.630 +/- 0.321,1.63000 
HMDB0002833,0.0089 (0.0056-0.012),0.00890 
HMDB0002865,0.0000051 +/- 0.0000009,0.00001 
HMDB0002869,7.462 +/- 7.487,7.46200 
HMDB0002871,0.085 +/- 0.057,0.08500 
HMDB0002878,41.8 (3.3-150.1),41.80000 
HMDB0002884,0.0295 +/- 0.384,0.02950 
HMDB0002886,0.000575 +/- 0.000337,0.00058 
HMDB0002902,0.899 +/- 0.648,0.89900 
HMDB0002904,0.011 +/- 0.0012,0.01100 
HMDB0002917,0.677 (0.572-0.782),0.67700 
HMDB0002925,0.542 +/- 0.005,0.54200 
HMDB0002937,0.00429,0.00429 
HMDB0002961,0.000172-0.00207,0.00207 
HMDB0002972,0.0000021,0.00000 
HMDB0002984,0.15 (0.11-0.15),0.15000 
HMDB0002991,<1,1.00000 
HMDB0002994,4.10 +/- 1.64,4.10000 
HMDB0003000,0.743 +/- 0.168,0.74300 
HMDB0003011,24.7,24.70000 
HMDB0003012,<1,1.00000 
HMDB0003034,0.000123 +/- 0.000015,0.00012 
HMDB0003045,0.99 (0.84–1.52),0.99000 
HMDB0003069,0.0199 (0.0190-0.0208),0.01990 
HMDB0003070,0.027 +/- 0.006,0.02700 
HMDB0003073,1.08 +/- 1.5,1.08000 
HMDB0003080,0.0258 +/- 0.00161,0.02580 
HMDB0003099,0.51 +/- 0.044,0.51000 
HMDB0003125,10.5 +/- 3.6,10.50000 
HMDB0003128,0.13 (0.12-0.16),0.13000 
HMDB0003141,0.0066 +/- 0.0025,0.00660 
HMDB0003148,0.2 (0.015-0.44),0.20000 
HMDB0003154,0.07 +/- 0.06,0.07000 
HMDB0003156,13.8 +/- 7.5,13.80000 
HMDB0003157,0.75 (0.37-1.13),0.75000 
HMDB0003164,0.040 (0.010-0.030),0.04000 
HMDB0003175,0.0006 (0.0002 - 0.0078),0.00060 
HMDB0003180,0.23 +/- 0.16,0.23000 
HMDB0003192,0.21 (0.05-0.52),0.21000 
HMDB0003193,0.0388 (0.0297 - 0.0506),0.03880 
HMDB0003208,0.000126 +/- 0.00001755,0.00013 
HMDB0003213,4.8 +/- 5.4,4.80000 
HMDB0003217,0.0065 (0.0057 - 0.0074),0.00650 
HMDB0003227,5.7 +/- 0.3,5.70000 
HMDB0003229,13,13.00000 
HMDB0003231,10.7 +/- 5,10.70000 
HMDB0003233,0.180 +/- 0.0800,0.18000 
HMDB0003236,0.00318 +/- 0.00243,0.00318 
HMDB0003243,1.06 +/- 1.54,1.06000 
HMDB0003249,0.72-0.75,0.75000 
HMDB0003252,0.00019 +/- 0.00007,0.00019 
HMDB0003269,10.00 +/- 1.67,10.00000 
HMDB0003276,65.70 +/- 5.50,65.70000 
HMDB0003312,0.0426,0.04260 
HMDB0003331,0.10 +/- 0.03,0.10000 
HMDB0003332,0.09 +/- 0.024,0.09000 
HMDB0003333,0.002 +/- 0.0008,0.00200 
HMDB0003334,0.35-0.75,0.75000 
HMDB0003337,19.96 +/- 24.82,19.96000 
HMDB0003339,0.0140-0.200,0.20000 
HMDB0003352,0.064 (0.033 - 0.159),0.06400 
HMDB0003357,0.30-2.00,2.00000 
HMDB0003366,0.17 - 0.69,0.17000 
HMDB0003374,89.0 +/- 28.0,89.00000 
HMDB0003375,0.19 (0.02 - 2.40),0.19000 
HMDB0003378,0.000012 +/- 0.000006,0.00001 
HMDB0003379,7.88 +/- 0.44,7.88000 
HMDB0003402,5.26 (4.0-7.0),5.26000 
HMDB0003406,1.88 +/- 0.07,1.88000 
HMDB0003409,0.0013 +/- 0.0012,0.00130 
HMDB0003417,8.643 +/- 2.11  ,8.64300 
HMDB0003423,11.3 +/- 14.5,11.30000 
HMDB0003429,0.0003 (0.00016-0.0005),0.00030 
HMDB0003458,0.00037 (0.000087-0.00150),0.00037 
HMDB0003459,0.119 +/- 0.176,0.11900 
HMDB0003464,0.034 (0.013-0.055),0.03400 
HMDB0003474,0.0036 (0.0014-0.0099),0.00360 
HMDB0003502,0.34 (0.21-0.46),0.34000 
HMDB0003503,6.2 +/- 0.25,6.20000 
HMDB0003514,98.0 +/- 17.0,98.00000 
HMDB0003540,0.137 +/- 0.204,0.13700 
HMDB0003550,0.0422,0.04220 
HMDB0003555,0.00049 (0.00009-0.0022),0.00049 
HMDB0003572,1.38 (0.0055 - 5.55),1.38000 
HMDB0003573,0.021 (0.00021-0.043),0.02100 
HMDB0003584,0.33,0.33000 
HMDB0003598,0.055 +/- 0.04,0.05500 
HMDB0003625,0.007 +/- 0.0036,0.00700 
HMDB0003626,0.005 +/- 0.002 (0.003 - 0.008) ,0.00500 
HMDB0003638,0.00088 +/- 0.00044,0.00088 
HMDB0003640,4.8 (2.0-8.0),4.80000 
HMDB0003642,0.18-0.46,0.46000 
HMDB0003648,0.105 +/- 0.109,0.10500 
HMDB0003671,0 - 0.18,0.00000 
HMDB0003681,0.5 (0.0-1.0),0.50000 
HMDB0003733,0.0000454 +/- 0.000027,0.00005 
HMDB0003759,0.0171 +/- 0.0056,0.01710 
HMDB0003771,0,0.00000 
HMDB0003797,2.03 +/- 1.3,2.03000 
HMDB0003871,0.00601 +/- 0.0055,0.00601 
HMDB0003876,0.02 +/- 0.01,0.02000 
HMDB0003892,0.005 +/- 0.001 (0.002 - 0.006),0.00500 
HMDB0003911,1.8-4.5,4.50000 
HMDB0003933,0.14 +/- 0.05,0.14000 
HMDB0003966,0.69 (0.56 - 0.82),0.69000 
HMDB0003993,0.05 +/- 0.04,0.05000 
HMDB0004025,0.12 (0.032-0.21),0.12000 
HMDB0004026,2.9 +/- 0.8,2.90000 
HMDB0004030,0.0029 ( 0.0010 - 0.0079),0.00290 
HMDB0004031,0.00002 +/- 0.00001,0.00002 
HMDB0004044,0.0658 +/- 0.0299,0.06580 
HMDB0004063,0.0016 (0.00018-0.0025),0.00160 
HMDB0004068,5345 +/- 318,5345.00000 
HMDB0004080,0.008 +/- 0.016,0.00800 
HMDB0004081,0.00024 (0.00008-0.0004),0.00024 
HMDB0004087,0.0017 (0.0013 - 0.0022),0.00170 
HMDB0004095,0.0016 (0.0-0.0032),0.00160 
HMDB0004096,1.09 +/- 2.13,1.09000 
HMDB0004118,0.0050-0.030,0.03000 
HMDB0004122,0.074 (0.074-0.090),0.07400 
HMDB0004136,2.5 (0.0-5.0),2.50000 
HMDB0004138,0.00024 +/- 0.00026,0.00024 
HMDB0004142,0.005 +/- 0.0026,0.00500 
HMDB0004143,0.002 +/- 0.0009,0.00200 
HMDB0004148,0.0027 +/- 0.0003,0.00270 
HMDB0004193,9.00 +/- 4.47,9.00000 
HMDB0004194,0.26 +/- 0.09,0.26000 
HMDB0004207,0.23 +/- 0.04,0.23000 
HMDB0004225,0.145 +/- 0.007,0.14500 
HMDB0004230,0.03 +/- 0.02 ,0.03000 
HMDB0004236,0.000373 +/- 0.000212,0.00037 
HMDB0004238,<0.0003,0.00030 
HMDB0004240,0.000209 +/- 0.000006,0.00021 
HMDB0004242,0.00280 +/- 0.00068,0.00280 
HMDB0004243,0.00145 +/- 0.0023,0.00145 
HMDB0004244,0.00106 +/- 0.00041,0.00106 
HMDB0004259,0.000065 (0.000059-0.00189),0.00007 
HMDB0004264,0.000134 +/- 0.000053,0.00013 
HMDB0004305,0.25 (0.0-0.5),0.25000 
HMDB0004327,0.08 (0.00 - 0.27),0.08000 
HMDB0004350,0.0031 (0.0000-0.0123),0.00310 
HMDB0004362,0.11 +/- 0.06,0.11000 
HMDB0004363,0.04 +/- 0.019,0.04000 
HMDB0004385,<0.00007,0.00007 
HMDB0004461,0.151 +/- 8.15,0.15100 
HMDB0004484,0.70 (0.057-1.34),0.70000 
HMDB0004620,1.25 +/- 0.28,1.25000 
HMDB0004628,0.04568(0.03895-0.05433),0.04568 
HMDB0004629,0.0006195 - 0.000658,0.00062 
HMDB0004645,1.42 +/- 0.11,1.42000 
HMDB0004659,0.00011 +/- 0.00004,0.00011 
HMDB0004666,7.8 +/- 4.6,7.80000 
HMDB0004667,0.0106 +/- 0.00128,0.01060 
HMDB0004668,0.00049 +/- 0.00004,0.00049 
HMDB0004669,0.00241 +/- 0.00029,0.00241 
HMDB0004670,0.0068 +/- 0.00167,0.00680 
HMDB0004673,0.000303+/- 0.000023,0.00030 
HMDB0004679,0.000749 +/- 0.000033,0.00075 
HMDB0004680,0.000277 +/- 0.000086,0.00028 
HMDB0004682,0.000425 +/- 0.0000095,0.00043 
HMDB0004684,<0.0001,0.00010 
HMDB0004685,0.000235 +/- 0.000028,0.00024 
HMDB0004688,0.000114 +/- 0.000087,0.00011 
HMDB0004693,0.00177 +/- 0.00005,0.00177 
HMDB0004701,0.00150 +/- 0.000974 ,0.00150 
HMDB0004702,0.00725 +/- 0.00673,0.00725 
HMDB0004704,0.0605 +/- 0.00382,0.06050 
HMDB0004705,0.00502 +/- 0.00019,0.00502 
HMDB0004708,0.000827 +/- 0.000214,0.00083 
HMDB0004710,0.000513 +/- 0.000083 (0.000430 - 0.000596),0.00051 
HMDB0004808,0.00028 +/- 0.000035,0.00028 
HMDB0004810,0.001 +/- 0.00012,0.00100 
HMDB0004811,0.00151(0.00128-0.00299),0.00151 
HMDB0004813,0.39 (0.33-0.44),0.39000 
HMDB0004814,0.030 (0.01-0.050),0.03000 
HMDB0004815,13.1 (3.6-54.0),13.10000 
HMDB0004816,0.31 (0.22-0.4),0.31000 
HMDB0004817,0.1(0.06-0.13),0.10000 
HMDB0004818,0.00032 (0.00-0.00065),0.00032 
HMDB0004821,0.00018 (0.00002-0.00059),0.00018 
HMDB0004822,0.000592 (0.00-0.00118),0.00059 
HMDB0004823,0.0502,0.05020 
HMDB0004824,0.031 +/- 0.004,0.03100 
HMDB0004825,0.0026 +/- 0.0014,0.00260 
HMDB0004826,0.00034 +/- 0.0001,0.00034 
HMDB0004827,10.0 (0.0-50.00),10.00000 
HMDB0004844,4.5 +/- 1.0,4.50000 
HMDB0004849,0.567 +/- 0.053,0.56700 
HMDB0004866,4.5 +/- 1.0,4.50000 
HMDB0004877,2.0 +/- 1.0,2.00000 
HMDB0004878,1.7 +/- 0.5,1.70000 
HMDB0004879,0.0001842-0.0003947,0.00018 
HMDB0004880,2.0 +/- 1.0,2.00000 
HMDB0004881,0.0001842-0.0003947,0.00018 
HMDB0004882,2.0 +/- 1.0,2.00000 
HMDB0004883,0.0904 +/- 0.0139,0.09040 
HMDB0004884,2.0 +/- 1.0,2.00000 
HMDB0004886,2.0 +/- 1.0,2.00000 
HMDB0004887,0.0001842-0.0003947,0.00018 
HMDB0004913,1.8772215,1.87722 
HMDB0004944,0.1738168,0.17382 
HMDB0004947,0.022 +/- 0.001,0.02200 
HMDB0004948,0.022 +/- 0.001,0.02200 
HMDB0004949,0.022 +/- 0.001,0.02200 
HMDB0004950,0.022 +/- 0.001,0.02200 
HMDB0004951,0.022 +/- 0.001,0.02200 
HMDB0004952,0.022 +/- 0.001,0.02200 
HMDB0004953,1 +/- 0.029,1.00000 
HMDB0004955,0.061 +/- 0.0007,0.06100 
HMDB0004956,0.022 +/- 0.001,0.02200 
HMDB0004957,0.022 +/- 0.001,0.02200 
HMDB0004958,1.5 +/- 1.0,1.50000 
HMDB0004966,0.0764794 +/-  0.0104290,0.07648 
HMDB0004969,3.6 (2.5-7.2),3.60000 
HMDB0004970,0.0222486,0.02225 
HMDB0004982,0.65 +/- 0.65,0.65000 
HMDB0004983,1.5-16.1,16.10000 
HMDB0004988,0.073 +/- 0.014,0.07300 
HMDB0004989,0.000038 +/- 0.000011,0.00004 
HMDB0004995,0.006 (0.002-0.015),0.00600 
HMDB0004999,0.0024 +/- 0.0008,0.00240 
HMDB0005000,1.02 +/- 0.33,1.02000 
HMDB0005006,0.010 +/- 0.0044,0.01000 
HMDB0005007,0.044 +/- 0.011,0.04400 
HMDB0005010,0.15 (0.00032-0.32),0.15000 
