mid,mname,keggid,nc
HMDB0001294,"2,3-Diphosphoglyceric acid",C01159,530
HMDB0001302,Molybdenum,C00150,0.0094
HMDB0001310,D-Alanine,C00133,444.61
HMDB0001311,D-Lactic acid,C00256,11
HMDB0001314,Cyclic GMP,C00942,0.0055
HMDB0001315,Phosphorus,C06262,11900
HMDB0001316,6-Phosphogluconic acid,C00345,2720
HMDB0001319,Pyridoxine 5'-phosphate,C00627,
HMDB0001321,D-Erythrose 4-phosphate,C00279,1770
HMDB0001325,"N6,N6,N6-Trimethyl-L-lysine",C03793,1.5
HMDB0001327,Rubidium,C17061,3.18
HMDB0001333,Manganese,C19610,0.007
HMDB0001336,"3,4-Dihydroxybenzeneacetic acid",C01161,
HMDB0001341,ADP,C00008,160
HMDB0001348,,,38
HMDB0001349,Selenium,C01529,2.1
HMDB0001352,Hydroxypyruvic acid,C00168,10.8
HMDB0001355,Parathion,C06604,68.721
HMDB0001358,Retinal,C00376,0.155
HMDB0001361,Carbon monoxide,C00237,72
HMDB0001367,N-Acetyl-glucosamine 1-phosphate,C04256,0.135
HMDB0001368,3-Mercaptopyruvic acid,C00957,0.31
HMDB0001370,Diaminopimelic acid,C00666,
HMDB0001371,Nitrogen,C00697,161827.316
HMDB0001372,Thiamine pyrophosphate,C00068,0.0032
HMDB0001377,Oxygen,C00007,6960
HMDB0001383,Sphinganine 1-phosphate,C01120,0.097
HMDB0001388,alpha-Linolenic acid,C06427,7.183
HMDB0001389,Melatonin,C01598,0.00019
HMDB0001390,,,0.25
HMDB0001392,p-Aminobenzoic acid,C00568,15
HMDB0001394,Heparin,C00374,5.193
HMDB0001396,5-Methyltetrahydrofolic acid,C00440,0.3
HMDB0001397,Guanosine monophosphate,C00144,0.0099
HMDB0001398,Guaiacol,C15572,8.5
HMDB0001401,Glucose 6-phosphate,C00092,4.52
HMDB0001403,Prostaglandin D2,C00696,0.0002
HMDB0001406,Niacinamide,C00153,0.03
HMDB0001411,,,0.00002
HMDB0001414,Putrescine,C00134,0.42
HMDB0001419,24-Hydroxycholesterol,C13550,0.049
HMDB0001420,,,0.00168
HMDB0001425,Estrone sulfate,C02538,0.0051
HMDB0001426,Formaldehyde,C00067,19.3
HMDB0001429,Phosphate,C00009,379.1
HMDB0001431,Pyridoxamine,C00534,0.164
HMDB0001432,Agmatine,C00179,0.31
HMDB0001434,,,0.089
HMDB0001438,,,0.0023
HMDB0001442,Prostaglandin E1,C04741,0.0001
HMDB0001448,Sulfate,C00059,215.5
HMDB0001449,Allopregnanolone,C13712,0.01
HMDB0001451,(R)-Lipoic acid,C16241,0.077
HMDB0001452,Thromboxane A2,C02198,0.00024
HMDB0001453,,,30.7
HMDB0001455,Alloepipregnanolone,C15484,0.0015
HMDB0001460,Diethylthiophosphate,C06607,0.0003
HMDB0001471,Epipregnanolone,C11825,0.003
HMDB0001473,Dihydroxyacetone phosphate,C00111,12.1
HMDB0001475,,,0.005
HMDB0001476,3-Hydroxyanthranilic acid,C00632,0.079
HMDB0001478,,,0.0005
HMDB0001487,NADH,C00004,22
HMDB0001488,Nicotinic acid,C00253,49.1
HMDB0001489,Ribose 1-phosphate,C00620,60
HMDB0001490,Vanylglycol,C05594,0.017
HMDB0001491,Pyridoxal 5'-phosphate,C00018,0.0728
HMDB0001492,gamma-Tocopherol,C02483,2.41
HMDB0001495,Queuine,C01449,0.105
HMDB0001496,7alpha-Hydroxycholesterol,C03594,0.18
HMDB0001505,Benzene,C01407,0.00038
HMDB0001509,20-Hydroxy-leukotriene B4,C04853,0.0001
HMDB0001511,Phosphocreatine,C02305,22.9
HMDB0001514,Glucosamine,C00329,0.29
HMDB0001517,AICAR,C04677,0.441
HMDB0001518,,,0.013
HMDB0001520,Flavin mononucleotide,C00061,0.0084
HMDB0001522,Methylguanidine,C02294,0.1
HMDB0001525,Imidazole,C01589,9.42
HMDB0001527,3-Methylthiopropionic acid,C08276,0.036
HMDB0001532,Deoxyadenosine triphosphate,C00131,0
HMDB0001533,"5,10-Methylene-THF",C00143,0.01
HMDB0001537,,,0.14
HMDB0001538,,,2.47
HMDB0001539,Asymmetric dimethylarginine,C03626,1
HMDB0001544,,,0.68
HMDB0001545,Pyridoxal,C00250,0.251
HMDB0001546,CDP,C00112,36
HMDB0001547,Corticosterone,C02140,0.027
HMDB0001548,D-Ribose 5-phosphate,C03736,13.2
HMDB0001553,2-Oxo-4-methylthiobutanoic acid,C01180,0.02
HMDB0001555,Pyridoxamine 5'-phosphate,C00647,0.015
HMDB0001562,Folinic acid,C03479,0.0025
HMDB0001563,1-Methylguanosine,C04545,0.0461
HMDB0001565,Phosphorylcholine,C00588,2.2
HMDB0001586,Glucose 1-phosphate,C00103,1.32
HMDB0001587,Phenylglyoxylic acid,C02137,36.6
HMDB0001624,,,0
HMDB0001644,D-Xylulose,C00310,2.5
HMDB0001645,L-Norleucine,C01933,0.0065
HMDB0001659,Acetone,C00207,170
HMDB0001713,m-Coumaric acid,C12621,0.022
HMDB0001721,DL-O-Phosphoserine,C01005,1.05
HMDB0001830,Progesterone,C00410,0.00032
HMDB0001842,Guanidine,C17349,0.13
HMDB0001844,,,
HMDB0001846,Tetrahydrofolic acid,C00101,0.0025
HMDB0001847,Caffeine,C07481,78
HMDB0001849,Propranolol,C07407,0.0026
HMDB0001851,L-Arabitol,C00532,3.947
HMDB0001852,all-trans-Retinoic acid,C00777,0.2
HMDB0001854,,,0.021
HMDB0001855,,,0.0009
HMDB0001856,Protocatechuic acid,C00230,0.49
HMDB0001857,,,
HMDB0001858,p-Cresol,C01468,5.556
HMDB0001859,Acetaminophen,C06804,11
HMDB0001860,Paraxanthine,C13747,
HMDB0001861,,,0.011
HMDB0001863,,,2
HMDB0001865,2-Oxovaleric acid,C06255,12.9
HMDB0001866,"3,4-Dihydroxymandelic acid",C05580,0.011
HMDB0001867,4-Aminohippuric acid,D06890 ,18
HMDB0001868,,,0.14
HMDB0001870,Benzoic acid,C00539,14.327
HMDB0001871,Epicatechin,C09727,0.625
HMDB0001873,Isobutyric acid,C02632,2.3
HMDB0001875,Methanol,C00132,93.7
HMDB0001876,,,0.0057
HMDB0001877,Valproic acid,C07185,208
HMDB0001878,Thymol,C09908,3.264
HMDB0001879,Aspirin,C01405,26.5
HMDB0001881,Propylene glycol,C02912,22.3
HMDB0001882,Dihydroxyacetone,C00184,6.807
HMDB0001885,,,6.96
HMDB0001886,3-Methylxanthine,C16357,
HMDB0001888,"N,N-Dimethylformamide",C03134,0.17
HMDB0001889,Theophylline,C07130,
HMDB0001890,Acetylcysteine,C06809,4
HMDB0001891,,,0.07
HMDB0001892,Menadione,C05377,0.00108
HMDB0001893,alpha-Tocopherol,C02477,21.3
HMDB0001895,Salicylic acid,C00805,0.2
HMDB0001896,,,0.00009
HMDB0001897,,,0
HMDB0001901,Aminocaproic acid,C02378,2
HMDB0001903,Calcitriol,C01673,0.00009
HMDB0001904,,,0.3
HMDB0001906,2-Aminoisobutyric acid,C03665,1.03
HMDB0001913,Omeprazole,C07324,0.34
HMDB0001917,Digoxin,C06956,0.0007
HMDB0001919,,,4
HMDB0001921,"1,1-Dimethylbiguanide",C07151,6
HMDB0001923,Naproxen,C01517,302
HMDB0001924,Atenolol,C13235,3.75
HMDB0001925,Ibuprofen,C01588,242
HMDB0001926,17a-Ethynylestradiol,C07534,0.00016
HMDB0001928,Hydrochlorothiazide,C07041,0.3
HMDB0001929,Levofloxacin,C07660,0.135
HMDB0001930,,,7.3
HMDB0001931,,,0.16
HMDB0001932,Metoprolol,C07202,0.071
HMDB0001933,Furosemide,C07017,
HMDB0001934,Nicotine,C00745,1.35
HMDB0001941,Brompheniramine,C06857,0.024
HMDB0001942,Phenylpropanolamine,C02343,2
HMDB0001943,Pseudoephedrine,C02765,3.02
HMDB0001954,,,20
HMDB0001959,,,0.32
HMDB0001960,,,0.0212
HMDB0001964,Caffeic acid,C01481,2.12
HMDB0001966,,,0.021
HMDB0001967,Carbon dioxide,C00011,25600
HMDB0001972,,,0.032
HMDB0001976,,,10
HMDB0001980,Vasopressin,C00840,0.00001
HMDB0001982,"3,7-Dimethyluric acid",C16360,
HMDB0001983,5'-Deoxyadenosine,C05198,0.078
HMDB0001986,,,0.11
HMDB0001987,,,2.8
HMDB0001988,,,
HMDB0001989,Tungsten,C00753,0.00016
HMDB0001991,7-Methylxanthine,C16353,
HMDB0001993,7a-Hydroxy-cholestene-3-one,C05455,109.8
HMDB0001999,Eicosapentaenoic acid,C06428,0.435
HMDB0002000,Myristoleic acid,C08322,2.016
HMDB0002003,Tetracosanoic acid,C08320,0.262
HMDB0002004,5-Methoxydimethyltryptamine,C08309,0.21
HMDB0002005,Methionine sulfoxide,C02989,1.4
HMDB0002006,"2,3-Diaminopropionic acid",C03401,1
HMDB0002012,Ubiquinone-1,C00399,0.00312
HMDB0002013,Butyrylcarnitine,C02862,0.26
HMDB0002014,,,0.06
HMDB0002015,,,0.33
HMDB0002017,1-Phenylethylamine,C02455,0.014
HMDB0002019,Phytol,C01389,
HMDB0002024,Imidazoleacetic acid,C02835,0.1
HMDB0002027,,,0.65
HMDB0002030,,,1980
HMDB0002031,Ureidoisobutyric acid,C05100,0.01
HMDB0002032,8-Hydroxyguanine,C20155,0.0001
HMDB0002035,4-Hydroxycinnamic acid,C00811,0.116
HMDB0002038,N(6)-Methyllysine,C02728,7
HMDB0002039,2-Pyrrolidinone,C11118,0.0975
HMDB0002040,,,0.693
HMDB0002044,,,0.00142
HMDB0002053,,,0.00002
HMDB0002056,,,0.0022
HMDB0002061,Hyaluronic acid,C00518,0.053
HMDB0002062,,,0.007
HMDB0002064,N-Acetylputrescine,C02714,
HMDB0002068,Erucic acid,C08316,1.264
HMDB0002072,,,0.123
HMDB0002078,Cyanate,C01417,0.045
HMDB0002080,,,2010
HMDB0002084,Cyanide,C00177,2.9
HMDB0002085,Syringic acid,C10833,7.1
HMDB0002088,,,0.0036
HMDB0002089,,,0.073
HMDB0002094,,,2100
HMDB0002095,,,0.09
HMDB0002097,,,0.974
HMDB0002098,,,2500
HMDB0002100,Palmitoylethanolamide,C16512,0.013
HMDB0002103,27-Hydroxycholesterol,C06340,0.538
HMDB0002107,Phthalic acid,C01606,2.179
HMDB0002108,,,3.9
HMDB0002111,Water,C00001,55000000
HMDB0002117,Oleamide,C19670,2010
HMDB0002120,,,0.471
HMDB0002123,"1,3,7-Trimethyluric acid",C16361,
HMDB0002124,Apigenin,C01477,0.0106
HMDB0002127,3-Mercaptolactic acid,C05823,4.43
HMDB0002130,,,0.0172
HMDB0002134,Aminoacetone,C01888,60
HMDB0002151,Dimethyl sulfoxide,C11143,0
HMDB0002158,Coproporphyrinogen I,C05768,0.015
HMDB0002163,,,0
HMDB0002166,(S)-beta-Aminoisobutyric acid,C03284,1.03
HMDB0002169,,,10
HMDB0002174,Cobalamin,C05776,0.00119
HMDB0002175,Silicon,C06263,5.98
HMDB0002177,,,0.007
HMDB0002179,Peroxynitrite,C16845,0.17
HMDB0002181,Phytoene,C05413,0.13
HMDB0002182,Phenylephrine,C07441,2.3
HMDB0002183,Docosahexaenoic acid,C06429,94.2
HMDB0002185,,,0.0375
HMDB0002186,,,50.6
HMDB0002189,N8-Acetylspermidine,C01029,0.05
HMDB0002190,"5,6-Epoxy-8,11,14-eicosatrienoic acid",C14768,0.007
HMDB0002195,,,0
HMDB0002196,Bismuth,C15471,0.0001
HMDB0002199,Desaminotyrosine,C01744,0.664
HMDB0002200,Leukotriene E4,C05952,0.00002
HMDB0002203,,,6.0054
HMDB0002204,Astaxanthin,C08580,0.092
HMDB0002209,Equol,C14131,0.0006
HMDB0002212,Arachidic acid,C06425,12.8
HMDB0002215,4a-Carbinolamine tetrahydrobiopterin,C00268,4.18
HMDB0002226,Adrenic acid,C16527,8.657
HMDB0002231,11Z-Eicosenoic acid,C16526,0.663
HMDB0002232,"8,9-Epoxyeicosatrienoic acid",C14769,0.0002
HMDB0002243,Picolinic acid,C10164,0.299
HMDB0002250,,,0.1
HMDB0002259,,,1.89
HMDB0002261,,,
HMDB0002264,,,
HMDB0002265,"14,15-DiHETrE",C14775,0.00145
HMDB0002266,,,2
HMDB0002268,Alpha-Cryptoxanthin,C15981,0.465
HMDB0002269,Curcumin,C10443,0.17
HMDB0002271,Imidazolepropionic acid,C20522,
HMDB0002274,,,0.00022
HMDB0002277,,,0.00004
HMDB0002283,,,0.00013
HMDB0002284,,,
HMDB0002285,,,6.228
HMDB0002287,,,0.00282
HMDB0002290,Arsenic,C06269,0.02
HMDB0002299,(R)-beta-Aminoisobutyric acid,C01205,57.8
HMDB0002302,,,
HMDB0002303,Dimethylsulfide,C00580,0
HMDB0002311,"8,9-DiHETrE",C14773,0.00051
HMDB0002314,"11,12-DiHETrE",C14774,0.00051
HMDB0002322,Cadaverine,C01672,
HMDB0002326,Coumesterol,C10205,0.0123
HMDB0002327,,,
HMDB0002329,Oxalic acid,C00209,6.43
HMDB0002338,Biochanin A,C00814,0.0088
HMDB0002340,2-Methylbenzoic acid,C07215,2.8
HMDB0002343,"5,6-DHET",C14772,0.00061
HMDB0002349,,,0.03
HMDB0002350,Octadecanol,D01924,
HMDB0002356,,,0.11
HMDB0002362,,,0.1
HMDB0002364,Oleanolic acid,C17148,0.026
HMDB0002366,,,0.05
HMDB0002368,Nervonic acid,C08323,34.532
HMDB0002369,9-cis-Retinoic acid,C15493,0.0042
HMDB0002372,,,6.988
HMDB0002374,Isofucosterol,C08821,1.45
HMDB0002381,,,40
HMDB0002386,Boron,C06266,18
HMDB0002387,Beryllium,C16460,0.0266
HMDB0002395,Ursolic acid,C08988,
HMDB0002409,,,0.75
HMDB0002428,Terephthalic acid,C06337,5.01
HMDB0002432,Sumiki's acid,C20448,
HMDB0002434,Hydroquinone,C00530,1
HMDB0002453,,,12.3
HMDB0002457,Nickel,C19609,0.64
HMDB0002466,3-Hydroxybenzoic acid,C00587,
HMDB0002467,,,0
HMDB0002500,Bromide,C01324,43.3
HMDB0002501,Germanium,C15472,0.006
HMDB0002503,Vanadium,C06267,0.0012
HMDB0002511,,,0.046
HMDB0002520,beta-Glycerophosphoric acid,C02979,
HMDB0002545,Galacturonic acid,C08348,
HMDB0002580,Taurolithocholic acid 3-sulfate,C03642,0.77
HMDB0002586,,,0.1
HMDB0002601,,,1
HMDB0002639,Sulfolithocholylglycine,C11301,0.06
HMDB0002641,2-Hydroxycinnamic acid,C01772,0.904
HMDB0002642,,,0.19
HMDB0002655,Isorhamnetin,C10084,0.0388
HMDB0002656,Prostaglandin A1,C04685,0.00007
HMDB0002658,6-Hydroxynicotinic acid,C01020,
HMDB0002659,Silver,C06710,0.0063
HMDB0002664,Prostaglandin E3,C06439,0.0001
HMDB0002666,Thiamine monophosphate,C01081,0.0043
HMDB0002670,Naringenin,C00509,0.00815
HMDB0002685,Prostaglandin F1a,C06475,0.00038
HMDB0002689,,,0
HMDB0002697,,,0.56
HMDB0002704,Iduronic acid,C06472,0.017
HMDB0002708,Cyanidin,C05905,0.02
HMDB0002710,Prostaglandin J2,C05957,0.00003
HMDB0002712,"1,5-Anhydrosorbitol",C07326,130
HMDB0002719,Desmosterol,C01802,1.3
HMDB0002720,,,0.25
HMDB0002721,,,0.0479
HMDB0002725,Nandrolone,C07254,0.0145
HMDB0002728,,,0.00002
HMDB0002730,,,283
HMDB0002752,Prostaglandin A2,C05953,0.00004
HMDB0002755,Myricetin,C10107,45
HMDB0002759,,,11.1
HMDB0002776,"13,14-Dihydro-15-keto-PGE2",C04671,0.0005
HMDB0002780,Catechin,C06562,0.65
HMDB0002786,Nitrite,C00088,32
HMDB0002789,Zeaxanthin,C06098,0.22
HMDB0002802,Cortisone,C00762,0.0411
HMDB0002815,,,31.5
HMDB0002820,Methylimidazoleacetic acid,C05828,0.08457
HMDB0002823,,,0.004
HMDB0002825,Theobromine,C07480,1.1
HMDB0002829,Androsterone glucuronide,C11135,1.63
HMDB0002833,,,0.0089
HMDB0002865,Oxytocin,C00746,0.00001
HMDB0002869,Campesterol,C01789,7.462
HMDB0002871,,,0.085
HMDB0002878,Nitrate,C00244,41.8
HMDB0002884,,,0.0295
HMDB0002886,6-Keto-prostaglandin F1a,C05961,0.00058
HMDB0002894,5-Methylcytosine,C02376,
HMDB0002902,delta-Tocopherol,C14151,0.899
HMDB0002904,,,0.011
HMDB0002917,D-Xylitol,C00379,0.677
HMDB0002925,Dihomo-gamma-linolenic acid,C03242,0.542
HMDB0002937,Tamarixetin,C10188,0.00429
HMDB0002961,Dihydrotestosterone,C03917,0.00207
HMDB0002972,"Vitamin K1 2,3-epoxide",C05849,0
HMDB0002984,11-Hydroxyandrosterone,C14606,0.15
HMDB0002985,,,
HMDB0002991,Cysteamine,C01678,1
HMDB0002994,Erythritol,C00503,4.1
HMDB0003000,Lycopene,C05432,0.743
HMDB0003011,O-Acetylserine,C00979,24.7
HMDB0003012,Aniline,C00292,1
HMDB0003034,Prostaglandin D3,C13802,0.00012
HMDB0003045,Ergothioneine,C05570,0.99
HMDB0003069,20alpha-Dihydroprogesterone,C04042,0.0199
HMDB0003070,Shikimic acid,C00493,0.027
HMDB0003072,Quinic acid,C00296,
HMDB0003073,gamma-Linolenic acid,C06426,1.08
HMDB0003080,Leukotriene D4,C05951,0.0258
HMDB0003099,1-Methyluric acid,C16359,0.51
HMDB0003125,Hydrogen peroxide,C00027,10.5
HMDB0003128,Cortolone,C05481,0.13
HMDB0003141,Retinoyl b-glucuronide,C11061,0.0066
HMDB0003148,,,0.2
HMDB0003152,,,
HMDB0003154,Canthaxanthin,C08583,0.07
HMDB0003156,,,13.8
HMDB0003157,Guanidinosuccinic acid,C03139,0.75
HMDB0003164,Chlorogenic acid,C00852,0.04
HMDB0003175,15-Keto-prostaglandin E2,C04707,0.0006
HMDB0003178,Heme,C00032,
HMDB0003180,Cortol,C05482,0.23
HMDB0003192,5-Aminoimidazole-4-carboxamide,C04051,0.21
HMDB0003193,Testosterone glucuronide,C11134,0.0388
HMDB0003208,Thromboxane,C02198,0.00013
HMDB0003213,Raffinose,C00492,4.8
HMDB0003217,Genistein,C06563,0.0065
HMDB0003224,Deoxyribose,C01801,
HMDB0003227,Methanethiol,C00409,5.7
HMDB0003229,Palmitoleic acid,C08362,13
HMDB0003231,Vaccenic acid,C08367,10.7
HMDB0003233,Lutein,C08601,0.18
HMDB0003236,Solanidine,C06543,0.00318
HMDB0003243,Acetoin,C00466,1.06
HMDB0003249,Rutin,C05625,0.75
HMDB0003252,Thromboxane B2,C05963,0.00019
HMDB0003269,Nicotinuric acid,C05380,10
HMDB0003276,Hydrogen sulfide,C00283,65.7
HMDB0003312,Daidzein,C10208,0.0426
HMDB0003320,Indole-3-carboxylic acid,C19837,
HMDB0003331,1-Methyladenosine,C02494,0.1
HMDB0003332,,,0.09
HMDB0003333,,,0.002
HMDB0003334,,,0.75
HMDB0003337,Oxidized glutathione,C00127,19.96
HMDB0003339,D-Glutamic acid,C00217,0.2
HMDB0003345,alpha-D-Glucose,C00267,
HMDB0003352,Menthol,C00400,0.064
HMDB0003355,5-Aminopentanoic acid,C00431,
HMDB0003357,N2-Acetylornithine,C00437,2
HMDB0003363,Pectic acid,C00470,
HMDB0003366,Propanal,C00479,0.17
HMDB0003371,L-Ribulose,C00508,
HMDB0003374,D-Ornithine,C00515,89
HMDB0003375,(+)-Limonene,C06099,0.19
HMDB0003378,Nitric oxide,C00533,0.00001
HMDB0003379,Triphosphate,C02174,7.88
HMDB0003402,Pectin,C08348,5.26
HMDB0003406,D-Serine,C00740,1.88
HMDB0003409,Berberine,C00757,0.0013
HMDB0003417,D-Cysteine,C00793,8.643
HMDB0003423,D-Glutamine,C00819,11.3
HMDB0003424,1-Hexadecanol,C00823,
HMDB0003429,Cob(I)alamin,C00853,0.0003
HMDB0003431,L-Histidinol,C00860,
HMDB0003458,Aquacobalamin,C00992,0.00037
HMDB0003459,D-Alanyl-D-alanine,C00993,0.119
HMDB0003464,4-Guanidinobutanoic acid,C01035,0.034
HMDB0003466,L-Gulonolactone,C01040,
HMDB0003474,"3,5-Diiodo-L-tyrosine",C01060,0.0036
HMDB0003502,myo-Inositol hexakisphosphate,C01204,0.34
HMDB0003503,"3-(3,4-Dihydroxyphenyl)lactic acid",C01207,6.2
HMDB0003514,"alpha-D-Glucose 1,6-bisphosphate",C01231,98
HMDB0003540,3'-AMP,C01367,0.137
HMDB0003550,Calcidiol,C01561,0.0422
HMDB0003555,Vitamin K1,C05850,0.00049
HMDB0003572,Rosmarinic acid,C01850,1.38
HMDB0003573,Scopolamine,C01851,0.021
HMDB0003584,Taurocyamine,C01959,0.33
HMDB0003598,Retinyl ester,C02075,0.055
HMDB0003625,Mercury,C00703,0.007
HMDB0003626,,,0.005
HMDB0003638,Cadmium,C01413,0.00088
HMDB0003640,Beta-Leucine,C02486,4.8
HMDB0003642,Strontium,C13884,0.46
HMDB0003646,N-Methylhydantoin,C02565,
HMDB0003648,Retinyl palmitate,C02588,0.105
HMDB0003671,2-Heptanone,C08380,0
HMDB0003681,4-Acetamidobutanoic acid,C02946,0.5
HMDB0003701,Dimethylbenzimidazole,C03114,
HMDB0003733,,,0.00005
HMDB0003759,"5a-Pregnane-3,20-dione",C03681,0.0171
HMDB0003771,,,0
HMDB0003797,Bovinic acid,C04056,2.03
HMDB0003818,5-Androstenediol,C04295,
HMDB0003871,13-L-Hydroperoxylinoleic acid,C04717,0.00601
HMDB0003876,15-HETE,C04742,0.02
HMDB0003892,,,0.005
HMDB0003911,3-Aminoisobutanoic acid,C05145,4.5
HMDB0003933,,,0.14
HMDB0003966,Selenomethionine,C05335,0.69
HMDB0003993,alpha-Carotene,C05433,0.05
HMDB0004025,Pregnanediol,C05484,0.12
HMDB0004026,21-Hydroxypregnenolone,C05485,2.9
HMDB0004030,21-Deoxycortisol,C05497,0.0029
HMDB0004031,11beta-Hydroxyprogesterone,C05498,0.00002
HMDB0004041,L-Allothreonine,C05519,
HMDB0004044,,,0.0658
HMDB0004063,Metanephrine,C05588,0.0016
HMDB0004068,Melanin,C05606,5345
HMDB0004080,Anandamide,C11695,0.008
HMDB0004081,6-Hydroxymelatonin,C05643,0.00024
HMDB0004087,"1-Benzyl-1,2,3,4-tetrahydroisoquinoline",C05201,0.0017
HMDB0004095,5-Methoxytryptamine,C05659,0.0016
HMDB0004096,5-Methoxyindoleacetate,C05660,1.09
HMDB0004118,,,0.03
HMDB0004122,Selenocystine,C05704,0.074
HMDB0004136,D-Threitol,C16884,2.5
HMDB0004138,,,0.00024
HMDB0004142,Barium,C13881,0.005
HMDB0004143,,,0.002
HMDB0004148,Dopamine 4-sulfate,C13691,0.0027
HMDB0004157,Stercobilinogen,C05789,
HMDB0004158,Urobilinogen,C05791,
HMDB0004160,Urobilin,C05794,
HMDB0004161,,,
HMDB0004193,N1-Methyl-2-pyridone-5-carboxamide,C05842,9
HMDB0004194,N1-Methyl-4-pyridone-3-carboxamide,C05843,0.26
HMDB0004207,,,0.23
HMDB0004225,2-Oxoarginine,C03771,0.145
HMDB0004230,Pyrrole-2-carboxylic acid,C05942,0.03
HMDB0004231,Panthenol,C05944,
HMDB0004236,Prostaglandin B2,C05954,0.00037
HMDB0004238,Delta-12-Prostaglandin J2,C05958,0.0003
HMDB0004240,15-Keto-prostaglandin F2a,C05960,0.00021
HMDB0004242,11-Dehydro-thromboxane B2,C05964,0.0028
HMDB0004243,12(S)-HPETE,C05965,0.00145
HMDB0004244,15(S)-HPETE,C05966,0.00106
HMDB0004246,Bradykinin,C00306,
HMDB0004259,Acetyl-N-formyl-5-methoxykynurenamine,C05642,0.00007
HMDB0004264,"14,15-Epoxy-5,8,11-eicosatrienoic acid",C14771,0.00013
HMDB0004284,Tyrosol,C06044,
HMDB0004305,Farnesol,C06081,0.25
HMDB0004327,1-Butanol,C06142,0.08
HMDB0004350,Anabasine,C06180,0.0031
HMDB0004362,,,0.11
HMDB0004363,Imidazolone,C06195,0.04
HMDB0004385,Lipoxin A4,C06314,0.00007
HMDB0004400,5-Acetylamino-6-amino-3-methyluracil,C16366,
HMDB0004461,Benzamide,C09815,0.151
HMDB0004484,Etiocholanolone glucuronide,C11136,0.7
HMDB0004610,Phytosphingosine,C12144,
HMDB0004620,,,1.25
HMDB0004628,Lead,C12144,0.04568
HMDB0004629,,,0.00062
HMDB0004645,,,1.42
HMDB0004659,8-Isoprostane,C13809,0.00011
HMDB0004666,"MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)",C13856,7.8
HMDB0004667,13-HODE,C14762,0.0106
HMDB0004668,13-OxoODE,C14765,0.00049
HMDB0004669,9-OxoODE,C14766,0.00241
HMDB0004670,alpha-Dimorphecolic acid,C14767,0.0068
HMDB0004673,,,0.0003
HMDB0004679,8-HETE,C14776,0.00075
HMDB0004680,16(R)-HETE,C14778,0.00028
HMDB0004682,11(R)-HETE,C14780,0.00043
HMDB0004684,"11,12,15-THETA",C14782,0.0001
HMDB0004685,,,0.00024
HMDB0004688,Hepoxilin A3,C14808,0.00011
HMDB0004693,"11H-14,15-EETA",C14813,0.00177
HMDB0004701,"9,10-Epoxyoctadecenoic acid",C14825,0.0015
HMDB0004702,"12,13-EpOME",C14826,0.00725
HMDB0004704,,,0.0605
HMDB0004705,"12,13-DHOME",C14829,0.00502
HMDB0004708,"9,12,13-TriHOME",C14833,0.00083
HMDB0004710,,,0.00051
HMDB0004808,,,0.00028
HMDB0004810,,,0.001
HMDB0004811,"2,4-Dichlorophenol",C02625,0.00151
HMDB0004813,,,0.39
HMDB0004814,,,0.03
HMDB0004815,,,13.1
HMDB0004816,FAPy-adenine,C06502,0.31
HMDB0004817,,,0.1
HMDB0004818,,,0.00032
HMDB0004821,Bisnorbiotin,C20384,0.00018
HMDB0004822,,,0.00059
HMDB0004823,,,0.0502
HMDB0004824,,,0.031
HMDB0004825,p-Octopamine,C04227,0.0026
HMDB0004826,p-Synephrine,C04548,0.00034
HMDB0004827,Proline betaine,C10172,10
HMDB0004844,Ganglioside GM3 (d18:1/16:0),C04730,4.5
HMDB0004849,Ganglioside GM3 (d18:1/26:1(17Z))),C04730,0.567
HMDB0004866,,,4.5
HMDB0004877,Trihexosylceramide (d18:1/12:0),C04737,2
HMDB0004878,Trihexosylceramide (d18:1/9Z-18:1),C04737,1.7
HMDB0004879,,,0.00018
HMDB0004880,Trihexosylceramide (d18:1/18:0),C04737,2
HMDB0004881,Trihexosylceramide (d18:1/20:0),C04737,0.00018
HMDB0004882,Trihexosylceramide (d18:1/22:0),C04737,2
HMDB0004883,,,0.0904
HMDB0004884,Trihexosylceramide (d18:1/26:1(17Z)),C04737,2
HMDB0004886,Trihexosylceramide (d18:1/24:0),C04737,2
HMDB0004887,,,0.00018
HMDB0004913,Ganglioside GD3 (d18:1/16:0),C06133,1.87722
HMDB0004944,Ganglioside GM2 (d18:1/26:0),C04884,0.17382
HMDB0004947,Cer(d18:1/12:0),C00195,0.022
HMDB0004948,Cer(d18:1/18:1(9Z)),C00195,0.022
HMDB0004949,Cer(d18:1/16:0),C00195,0.022
HMDB0004950,Cer(d18:1/18:0),C00195,0.022
HMDB0004951,Cer(d18:1/20:0),C00195,0.022
HMDB0004952,Cer(d18:1/22:0),C00195,0.022
HMDB0004953,Cer(d18:1/24:1(15Z)),C00195,1
HMDB0004955,Cer(d18:1/26:0),C00195,0.061
HMDB0004956,Cer(d18:1/24:0),C00195,0.022
HMDB0004957,Cer(d18:1/25:0),C00195,0.022
HMDB0004958,Tetrahexosylceramide (d18:1/12:0),C03272,1.5
HMDB0004966,Tetrahexosylceramide (d18:1/26:0),C03272,0.07648
HMDB0004969,GlcCer(d18:1/12:0),C01190,3.6
HMDB0004970,GlcCer(d18:1/9Z-18:1),C01190,0.02225
HMDB0004982,,,0.65
