mid,mname,keggid,nc
HMDB0000213,myo-Inositol 1-phosphate,C01177,
HMDB0000214,Ornithine,C00077,55
HMDB0000215,N-Acetyl-D-glucosamine,C00140,204.3279
HMDB0000216,Norepinephrine,C00547,0.007
HMDB0000217,NADP,C00006,19.6
HMDB0000218,Orotidylic acid,C01103,
HMDB0000220,Palmitic acid,C00249,122
HMDB0000221,NADPH,C00005,51
HMDB0000222,Palmitoylcarnitine,C02990,0.153
HMDB0000223,Oxalacetic acid,C00036,61
HMDB0000224,O-Phosphoethanolamine,C00346,19
HMDB0000226,Orotic acid,C00295,0.27
HMDB0000227,Mevalonic acid,C00418,0.028
HMDB0000228,Phenol,C15584,6.38
HMDB0000229,Nicotinamide ribotide,C00455,66.67
HMDB0000230,N-Acetylneuraminic acid,C19910,2
HMDB0000232,Quinolinic acid,C03722,0.599
HMDB0000234,Testosterone,C00535,0.0139
HMDB0000235,Thiamine,C00378,0.34
HMDB0000237,Propionic acid,C00163,1.6
HMDB0000238,Sepiapterin,C00835,0.0005
HMDB0000239,Pyridoxine,C00314,0.025
HMDB0000240,Sulfite,C00094,1.23
HMDB0000241,Protoporphyrin IX,C02191,0.66
HMDB0000243,Pyruvic acid,C00022,34.5
HMDB0000244,Riboflavin,C00255,0.845
HMDB0000245,Porphobilinogen,C00931,0.06
HMDB0000247,Sorbitol,C00794,1.09
HMDB0000248,Thyroxine,C01829,0.00001
HMDB0000250,Pyrophosphate,C00013,1.8
HMDB0000251,Taurine,C00245,10
HMDB0000252,Sphingosine,C00319,0.05
HMDB0000253,Pregnenolone,C01953,0.0632
HMDB0000254,Succinic acid,C00042,16
HMDB0000256,Squalene,C00751,2.22
HMDB0000257,Thiosulfate,C05529,1215
HMDB0000258,Sucrose,C00089,1.8
HMDB0000259,Serotonin,C00780,0.85
HMDB0000262,Thymine,C00178,5
HMDB0000263,Phosphoenolpyruvic acid,C00074,7.6
HMDB0000265,Liothyronine,C02465,0.0029
HMDB0000267,Pyroglutamic acid,C01879,19.5
HMDB0000268,Tetrahydrocorticosterone,C05476,0.0571
HMDB0000269,Sphinganine,C00836,0.011
HMDB0000271,Sarcosine,C00213,0
HMDB0000272,Phosphoserine,C01005,17
HMDB0000273,Thymidine,C00214,1.52
HMDB0000277,Sphingosine 1-phosphate,C06124,0.308
HMDB0000279,Saccharopine,C00449,
HMDB0000280,Phosphoribosyl pyrophosphate,C00119,5.72
