HMDB0001266,L-Iditol + NAD = L-Sorbose + NADH,,,,,,,,,,,,,,
HMDB0001138,Acetyl-CoA + L-Glutamic acid = Coenzyme A + N-Acetyl-L-glutamic acid,,,,,,,,,,,,,,
HMDB0002985,myo-Inositol 6-phosphate + Water = myo-Inositol + Phosphate,,,,,,,,,,,,,,
HMDB0011754,Methyldopa = (2S)-2-amino-3-(4-hydroxy-3-methoxyphenyl)-2-methylpropanoic acid,,,,,,,,,,,,,,
HMDB0001104,N(4)-(beta-N-acetyl-D-glucosaminyl)-L-asparagine + Water = N-Acetyl-b-glucosaminylamine + L-Aspartic acid,,,,,,,,,,,,,,
HMDB0000828,Carbamoyl phosphate + L-Aspartic acid = Phosphate + Ureidosuccinic acid,,,,,,,,,,,,,,
Phenylketonuria,,,,,,,,,,,,,,,
HMDB0000078,Cysteinylglycine + Water = L-Cysteine + Glycine,,,,,,,,,,,,,,
HMDB0000209,Phenylacetaldehyde + NAD + Water = Phenylacetic acid + NADH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000159,Adenosine triphosphate + L-Phenylalanine + tRNA(Phe) = Adenosine monophosphate + Pyrophosphate + L-phenylalanyl-tRNA(Phe),,,,,,,,,,,,,,
HMDB0000883,L-Valine + Oxoglutaric acid = alpha-Ketoisovaleric acid + L-Glutamic acid,,,,,,,,,,,,,,
HMDB0000374,"17alpha,20alpha-Dihydroxypregn-4-en-3-one + NAD(P)(+) = 17-Hydroxyprogesterone + NAD(P)H",,,,,,,,,,,,,,
HMDB0000687,L-Leucine + Oxoglutaric acid = Ketoleucine + L-Glutamic acid,,,,,,,,,,,,,,
HMDB0000205,Phenylpyruvic acid = Enol-phenylpyruvate,,,,,,,,,,,,,,
HMDB0000205,Phenylpyruvic acid = Enol-phenylpyruvate,,,,,,,,,,,,,,
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid,,,,,,,,,,,,,,
HMDB0000440,"3-Hydroxyphenylacetic acid = 6-[3-(carboxymethyl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",,,,,,,,,,,,,,
HMDB0000669,Phenylpyruvic acid + Oxygen = ortho-Hydroxyphenylacetic acid + Carbon dioxide,,,,,,,,,,,,,,
HMDB0000755,Hydroxyphenyllactic acid = 3-(4-hydroxyphenyl)-2-(sulfooxy)propanoic acid,,,,,,,,,,,,,,
HMDB0000707,4-Hydroxyphenylpyruvic acid = 2-Hydroxy-3-(4-hydroxyphenyl)propenoic acid,,,,,,,,,,,,,,
HMDB0000209,Phenylacetaldehyde + NAD + Water = Phenylacetic acid + NADH + Hydrogen Ion,,,,,,,,,,,,,,
HMDB0000779,Phenyllactic acid = 3-phenyl-2-(sulfooxy)propanoic acid,,,,,,,,,,,,,,
HMDB0000042,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA = 7-Methyl-3-oxo-6-octenoyl-CoA + Acetic acid,,,,,,,,,,,,,,
Obesity,,,,,,,,,,,,,,,
HMDB0000162,L-Proline + Oxoglutaric acid + Oxygen = 4-Hydroxyproline + Succinic acid + Carbon dioxide,,,,,,,,,,,,,,
HMDB0000641,L-Glutamine + Fructose 6-phosphate = L-Glutamic acid + Glucosamine 6-phosphate,,,,,,,,,,,,,,
HMDB0000696,5-Methyltetrahydrofolic acid + Homocysteine = Tetrahydrofolic acid + L-Methionine,,,,,,,,,,,,,,
HMDB0000641,L-Glutamine + Fructose 6-phosphate = L-Glutamic acid + Glucosamine 6-phosphate,,,,,,,,,,,,,,
HMDB0000696,5-Methyltetrahydrofolic acid + Homocysteine = Tetrahydrofolic acid + L-Methionine,,,,,,,,,,,,,,312
HMDB0000162,L-Proline + Oxoglutaric acid + Oxygen = 4-Hydroxyproline + Succinic acid + Carbon dioxide,,,,,,,,,,,,,,
HMDB0000062,Acetyl-CoA + L-Carnitine = Coenzyme A + L-Acetylcarnitine,,,,,,,,,,,,,,
HMDB0000791,Octanoyl-CoA + L-Carnitine = Coenzyme A + Octanoylcarnitine,,,,,,,,,,,,,,
HMDB0000714,Benzoyl-CoA + Glycine = Coenzyme A + Hippuric acid,,,,,,,,,,,,,,
HMDB0000479,Adenosine triphosphate + 3-Methylhistidine + beta-Alanine = Adenosine monophosphate + Pyrophosphate + Anserine,,,,,,,,,,,,,,
HMDB0000011,3-Hydroxybutyric acid = 3-(sulfooxy)butanoic acid,,,,,,,,,,,,,,
HMDB0001425,"Phosphoadenosine phosphosulfate + Estrone = Adenosine 3',5'-diphosphate + Estrone sulfate",,,,,,,,,,,,,,
HMDB0001319,Pyridoxine 5'-phosphate + Oxygen = Pyridoxal 5'-phosphate + Hydrogen peroxide,,,,,,,,,,,,,,
HMDB0000561,beta-Carotene + Oxygen = Retinal,,,,,,,,,,,,,,
HMDB0000158,L-Tyrosine + Oxygen = Dopaquinone + Water,,,,,,,,,,,,,,
